dataset,file_id,file_size_GB,file_loc,P_hateful,P_targeted,P_aggressive,file_ind
2B,2B_53,2.5125,./LAION-2Ben/laion2B-en/part-00044-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.316,0.1,0.019,laion2B-en_00044
2B,2B_54,2.5125,./LAION-2Ben/laion2B-en/part-00024-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.367,0.1139999999999999,0.019,laion2B-en_00024
2B,2B_55,2.5125,./LAION-2Ben/laion2B-en/part-00046-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.322,0.103,0.0139999999999999,laion2B-en_00046
2B,2B_56,2.5124,./LAION-2Ben/laion2B-en/part-00043-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.353,0.11,0.021,laion2B-en_00043
2B,2B_57,2.5124,./LAION-2Ben/laion2B-en/part-00052-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.365,0.122,0.019,laion2B-en_00052
2B,2B_58,2.5124,./LAION-2Ben/laion2B-en/part-00023-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.33,0.093,0.017,laion2B-en_00023
2B,2B_59,2.5124,./LAION-2Ben/laion2B-en/part-00004-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.363,0.109,0.024,laion2B-en_00004
2B,2B_60,2.5124,./LAION-2Ben/laion2B-en/part-00096-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.325,0.11,0.02,laion2B-en_00096
2B,2B_61,2.5123,./LAION-2Ben/laion2B-en/part-00029-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.362,0.109,0.0279999999999999,laion2B-en_00029
2B,2B_62,2.5123,./LAION-2Ben/laion2B-en/part-00050-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.372,0.133,0.031,laion2B-en_00050
2B,2B_63,2.5123,./LAION-2Ben/laion2B-en/part-00032-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3419999999999999,0.095,0.021,laion2B-en_00032
2B,2B_64,2.5123,./LAION-2Ben/laion2B-en/part-00063-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.344,0.119,0.019,laion2B-en_00063
2B,2B_65,2.5123,./LAION-2Ben/laion2B-en/part-00015-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.364,0.122,0.021,laion2B-en_00015
2B,2B_66,2.5123,./LAION-2Ben/laion2B-en/part-00086-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.352,0.111,0.016,laion2B-en_00086
2B,2B_67,2.5123,./LAION-2Ben/laion2B-en/part-00014-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.345,0.11,0.026,laion2B-en_00014
2B,2B_68,2.5123,./LAION-2Ben/laion2B-en/part-00057-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.297,0.096,0.0139999999999999,laion2B-en_00057
2B,2B_69,2.5122,./LAION-2Ben/laion2B-en/part-00003-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.351,0.1139999999999999,0.015,laion2B-en_00003
2B,2B_70,2.5122,./LAION-2Ben/laion2B-en/part-00059-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.329,0.105,0.034,laion2B-en_00059
2B,2B_71,2.5122,./LAION-2Ben/laion2B-en/part-00084-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.357,0.1119999999999999,0.013,laion2B-en_00084
2B,2B_72,2.5122,./LAION-2Ben/laion2B-en/part-00010-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.327,0.099,0.019,laion2B-en_00010
2B,2B_73,2.5122,./LAION-2Ben/laion2B-en/part-00008-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.345,0.106,0.02,laion2B-en_00008
2B,2B_74,2.5122,./LAION-2Ben/laion2B-en/part-00051-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.334,0.121,0.02,laion2B-en_00051
2B,2B_75,2.5122,./LAION-2Ben/laion2B-en/part-00090-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.35,0.1119999999999999,0.017,laion2B-en_00090
2B,2B_76,2.5122,./LAION-2Ben/laion2B-en/part-00038-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.37,0.119,0.022,laion2B-en_00038
2B,2B_77,2.5122,./LAION-2Ben/laion2B-en/part-00081-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.345,0.105,0.021,laion2B-en_00081
2B,2B_78,2.5121,./LAION-2Ben/laion2B-en/part-00025-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3409999999999999,0.122,0.021,laion2B-en_00025
2B,2B_79,2.5121,./LAION-2Ben/laion2B-en/part-00042-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3389999999999999,0.105,0.022,laion2B-en_00042
2B,2B_80,2.5121,./LAION-2Ben/laion2B-en/part-00054-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.326,0.1149999999999999,0.013,laion2B-en_00054
2B,2B_81,2.5122,./LAION-2Ben/laion2B-en/part-00021-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.366,0.111,0.015,laion2B-en_00021
2B,2B_82,2.5121,./LAION-2Ben/laion2B-en/part-00011-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.361,0.11,0.026,laion2B-en_00011
2B,2B_83,2.5121,./LAION-2Ben/laion2B-en/part-00077-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.315,0.1,0.016,laion2B-en_00077
2B,2B_84,2.5121,./LAION-2Ben/laion2B-en/part-00009-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.336,0.1139999999999999,0.033,laion2B-en_00009
2B,2B_85,2.5121,./LAION-2Ben/laion2B-en/part-00012-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.361,0.116,0.024,laion2B-en_00012
2B,2B_86,2.5121,./LAION-2Ben/laion2B-en/part-00006-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.348,0.1,0.025,laion2B-en_00006
2B,2B_87,2.5121,./LAION-2Ben/laion2B-en/part-00020-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.382,0.099,0.03,laion2B-en_00020
2B,2B_88,2.512,./LAION-2Ben/laion2B-en/part-00085-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.318,0.097,0.02,laion2B-en_00085
2B,2B_89,2.5119,./LAION-2Ben/laion2B-en/part-00031-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3,0.094,0.013,laion2B-en_00031
2B,2B_90,2.5119,./LAION-2Ben/laion2B-en/part-00065-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3229999999999999,0.099,0.018,laion2B-en_00065
2B,2B_91,2.5118,./LAION-2Ben/laion2B-en/part-00060-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.365,0.11,0.02,laion2B-en_00060
2B,2B_92,2.5118,./LAION-2Ben/laion2B-en/part-00005-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.355,0.123,0.0279999999999999,laion2B-en_00005
2B,2B_93,2.5116,./LAION-2Ben/laion2B-en/part-00007-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.354,0.134,0.022,laion2B-en_00007
2B,2B_94,2.5117,./LAION-2Ben/laion2B-en/part-00022-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.312,0.105,0.019,laion2B-en_00022
2B,2B_95,2.5116,./LAION-2Ben/laion2B-en/part-00028-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.356,0.105,0.017,laion2B-en_00028
2B,2B_96,2.513,./LAION-2Ben/laion2B-en/part-00111-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.346,0.108,0.0279999999999999,laion2B-en_00111
2B,2B_97,2.5132,./LAION-2Ben/laion2B-en/part-00117-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.347,0.109,0.02,laion2B-en_00117
2B,2B_98,2.5129,./LAION-2Ben/laion2B-en/part-00103-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3429999999999999,0.097,0.019,laion2B-en_00103
2B,2B_99,2.5128,./LAION-2Ben/laion2B-en/part-00119-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.334,0.106,0.022,laion2B-en_00119
2B,2B_100,2.513,./LAION-2Ben/laion2B-en/part-00124-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.346,0.1129999999999999,0.02,laion2B-en_00124
2B,2B_101,2.5128,./LAION-2Ben/laion2B-en/part-00121-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.316,0.1139999999999999,0.018,laion2B-en_00121
2B,2B_102,2.5127,./LAION-2Ben/laion2B-en/part-00127-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.331,0.1149999999999999,0.024,laion2B-en_00127
2B,2B_103,2.5127,./LAION-2Ben/laion2B-en/part-00107-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.346,0.116,0.02,laion2B-en_00107
2B,2B_104,2.5126,./LAION-2Ben/laion2B-en/part-00110-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.345,0.095,0.022,laion2B-en_00110
